122,1,11,168,
123,2,12,0,
124,3,13,1,
125,4,14,2,
126,5,15,3,
127,6,16,4,
128,7,17,5,
129,8,18,6,
130,9,19,7,
131,10,20,8,
132,134,21,9,
0,12,22,167,
1,13,23,11,
2,14,24,12,
3,15,25,13,
4,16,26,14,
5,17,27,15,
6,18,28,16,
7,19,29,17,
8,20,30,18,
9,21,31,19,
10,135,32,20,
11,23,33,166,
12,24,34,22,
13,25,35,23,
14,26,36,24,
15,27,37,25,
16,28,38,26,
17,29,39,27,
18,30,40,28,
19,31,41,29,
20,32,42,30,
21,136,43,31,
22,34,44,165,
23,35,45,33,
24,36,46,34,
25,37,47,35,
26,38,48,36,
27,39,49,37,
28,40,50,38,
29,41,51,39,
30,42,52,40,
31,43,53,41,
32,137,54,42,
33,45,55,164,
34,46,56,44,
35,47,57,45,
36,48,58,46,
37,49,59,47,
38,50,60,48,
39,51,61,49,
40,52,62,50,
41,53,63,51,
42,54,64,52,
43,138,65,53,
44,56,66,163,
45,57,67,55,
46,58,68,56,
47,59,69,57,
48,60,70,58,
49,61,71,59,
50,62,72,60,
51,63,73,61,
52,64,74,62,
53,65,75,63,
54,139,76,64,
55,67,77,162,
56,68,78,66,
57,69,79,67,
58,70,80,68,
59,71,81,69,
60,72,82,70,
61,73,83,71,
62,74,84,72,
63,75,85,73,
64,76,86,74,
65,140,87,75,
66,78,88,161,
67,79,89,77,
68,80,90,78,
69,81,91,79,
70,82,92,80,
71,83,93,81,
72,84,94,82,
73,85,95,83,
74,86,96,84,
75,87,97,85,
76,141,98,86,
77,89,99,160,
78,90,100,88,
79,91,101,89,
80,92,102,90,
81,93,103,91,
82,94,104,92,
83,95,105,93,
84,96,106,94,
85,97,107,95,
86,98,108,96,
87,142,109,97,
88,100,110,159,
89,101,111,99,
90,102,112,100,
91,103,113,101,
92,104,114,102,
93,105,115,103,
94,106,116,104,
95,107,117,105,
96,108,118,106,
97,109,119,107,
98,143,120,108,
99,111,156,158,
100,112,155,110,
101,113,154,111,
102,114,153,112,
103,115,152,113,
104,116,151,114,
105,117,150,115,
106,118,149,116,
107,119,148,117,
108,120,147,118,
109,144,146,119,
169,122,168,220,
170,123,0,121,
171,124,1,122,
172,125,2,123,
173,126,3,124,
174,127,4,125,
175,128,5,126,
176,129,6,127,
177,130,7,128,
178,131,8,129,
179,132,9,130,
180,133,10,131,
181,182,134,132,
133,183,135,10,
134,184,136,21,
135,185,137,32,
136,186,138,43,
137,187,139,54,
138,188,140,65,
139,189,141,76,
140,190,142,87,
141,191,143,98,
142,192,144,109,
143,193,145,120,
144,194,195,146,
120,145,196,147,
119,146,197,148,
118,147,198,149,
117,148,199,150,
116,149,200,151,
115,150,201,152,
114,151,202,153,
113,152,203,154,
112,153,204,155,
111,154,205,156,
110,155,206,157,
158,156,207,208,
159,110,157,209,
160,99,158,210,
161,88,159,211,
162,77,160,212,
163,66,161,213,
164,55,162,214,
165,44,163,215,
166,33,164,216,
167,22,165,217,
168,11,166,218,
121,0,167,219,
121,-1,-1,-1,
122,-1,-1,-1,
123,-1,-1,-1,
124,-1,-1,-1,
125,-1,-1,-1,
126,-1,-1,-1,
127,-1,-1,-1,
128,-1,-1,-1,
129,-1,-1,-1,
130,-1,-1,-1,
131,-1,-1,-1,
132,-1,-1,-1,
133,-1,-1,-1,
133,-1,-1,-1,
134,-1,-1,-1,
135,-1,-1,-1,
136,-1,-1,-1,
137,-1,-1,-1,
138,-1,-1,-1,
139,-1,-1,-1,
140,-1,-1,-1,
141,-1,-1,-1,
142,-1,-1,-1,
143,-1,-1,-1,
144,-1,-1,-1,
145,-1,-1,-1,
145,-1,-1,-1,
146,-1,-1,-1,
147,-1,-1,-1,
148,-1,-1,-1,
149,-1,-1,-1,
150,-1,-1,-1,
151,-1,-1,-1,
152,-1,-1,-1,
153,-1,-1,-1,
154,-1,-1,-1,
155,-1,-1,-1,
156,-1,-1,-1,
157,-1,-1,-1,
157,-1,-1,-1,
158,-1,-1,-1,
159,-1,-1,-1,
160,-1,-1,-1,
161,-1,-1,-1,
162,-1,-1,-1,
163,-1,-1,-1,
164,-1,-1,-1,
165,-1,-1,-1,
166,-1,-1,-1,
167,-1,-1,-1,
168,-1,-1,-1,
121,-1,-1,-1,
